TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,KG/S,M/S,kPa,KJ/K-S,M^2
0.100000E+00,0.814689E-02,0.316790E+03,0.587737E+03,0.000000E+00,0.506451E-05
0.200000E+00,0.814329E-02,0.316764E+03,0.587374E+03,0.000000E+00,0.506451E-05
0.300000E+00,0.813970E-02,0.316738E+03,0.587015E+03,0.000000E+00,0.506451E-05
0.400000E+00,0.813611E-02,0.316712E+03,0.586656E+03,0.000000E+00,0.506451E-05
0.500000E+00,0.813253E-02,0.316686E+03,0.586296E+03,0.000000E+00,0.506451E-05
0.600000E+00,0.812895E-02,0.316660E+03,0.585937E+03,0.000000E+00,0.506451E-05
0.700000E+00,0.812536E-02,0.316634E+03,0.585579E+03,0.000000E+00,0.506451E-05
0.800000E+00,0.812179E-02,0.316609E+03,0.585220E+03,0.000000E+00,0.506451E-05
0.900000E+00,0.811821E-02,0.316583E+03,0.584862E+03,0.000000E+00,0.506451E-05
0.100000E+01,0.811463E-02,0.316557E+03,0.584504E+03,0.000000E+00,0.506451E-05
0.110000E+01,0.811106E-02,0.316531E+03,0.584146E+03,0.000000E+00,0.506451E-05
0.120000E+01,0.810749E-02,0.316505E+03,0.583788E+03,0.000000E+00,0.506451E-05
0.130000E+01,0.810392E-02,0.316480E+03,0.583431E+03,0.000000E+00,0.506451E-05
0.140000E+01,0.810035E-02,0.316454E+03,0.583073E+03,0.000000E+00,0.506451E-05
0.150000E+01,0.809679E-02,0.316428E+03,0.582716E+03,0.000000E+00,0.506451E-05
0.160000E+01,0.809323E-02,0.316402E+03,0.582360E+03,0.000000E+00,0.506451E-05
0.170000E+01,0.808966E-02,0.316376E+03,0.582003E+03,0.000000E+00,0.506451E-05
0.180000E+01,0.808610E-02,0.316351E+03,0.581647E+03,0.000000E+00,0.506451E-05
0.190000E+01,0.808255E-02,0.316325E+03,0.581290E+03,0.000000E+00,0.506451E-05
0.200000E+01,0.807899E-02,0.316299E+03,0.580935E+03,0.000000E+00,0.506451E-05
0.210000E+01,0.807544E-02,0.316273E+03,0.580579E+03,0.000000E+00,0.506451E-05
0.220000E+01,0.807188E-02,0.316247E+03,0.580223E+03,0.000000E+00,0.506451E-05
0.230000E+01,0.806833E-02,0.316222E+03,0.579868E+03,0.000000E+00,0.506451E-05
0.240000E+01,0.806478E-02,0.316196E+03,0.579513E+03,0.000000E+00,0.506451E-05
0.250000E+01,0.806124E-02,0.316170E+03,0.579158E+03,0.000000E+00,0.506451E-05
0.260000E+01,0.805769E-02,0.316144E+03,0.578803E+03,0.000000E+00,0.506451E-05
0.270000E+01,0.805415E-02,0.316119E+03,0.578449E+03,0.000000E+00,0.506451E-05
0.280000E+01,0.805061E-02,0.316093E+03,0.578095E+03,0.000000E+00,0.506451E-05
0.290000E+01,0.804707E-02,0.316067E+03,0.577741E+03,0.000000E+00,0.506451E-05
0.300000E+01,0.804353E-02,0.316041E+03,0.577387E+03,0.000000E+00,0.506451E-05
0.310000E+01,0.803999E-02,0.316016E+03,0.577033E+03,0.000000E+00,0.506451E-05
0.320000E+01,0.803646E-02,0.315990E+03,0.576680E+03,0.000000E+00,0.506451E-05
0.330000E+01,0.803293E-02,0.315964E+03,0.576327E+03,0.000000E+00,0.506451E-05
0.340000E+01,0.802940E-02,0.315938E+03,0.575974E+03,0.000000E+00,0.506451E-05
0.350000E+01,0.802587E-02,0.315913E+03,0.575621E+03,0.000000E+00,0.506451E-05
0.360000E+01,0.802234E-02,0.315887E+03,0.575268E+03,0.000000E+00,0.506451E-05
0.370000E+01,0.801882E-02,0.315861E+03,0.574916E+03,0.000000E+00,0.506451E-05
0.380000E+01,0.801529E-02,0.315836E+03,0.574564E+03,0.000000E+00,0.506451E-05
0.390000E+01,0.801177E-02,0.315810E+03,0.574212E+03,0.000000E+00,0.506451E-05
