TIME,P1        ,P2        ,T1        ,T2        ,Z1        ,Z2        ,RHO1      ,RHO2      ,EM1       ,EM2       ,XV1       ,XV2       ,CONDF1    ,CONDF2    ,VOL1      ,VOL2      ,DIFMAX,RSDMAX,ITER
SECONDS,kPa,kPa,DEG_C,DEG_C,-,-,KG/M^3,KG/M^3,KG,KG,-,-,W/M-K,W/M-K,M^3,M^3,DIFMAX,RSDMAX,ITER
0.100000E+00,0.101325E+03,0.689079E+03,0.266600E+02,0.266049E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.801017E+01,0.000000E+00,0.226819E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.335960E-04,0.688106E-02,     5
0.200000E+00,0.101325E+03,0.688718E+03,0.266600E+02,0.265561E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.800728E+01,0.000000E+00,0.226738E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.324173E-04,0.779736E-02,     5
0.300000E+00,0.101325E+03,0.688359E+03,0.266600E+02,0.265071E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.800441E+01,0.000000E+00,0.226656E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323445E-04,0.773920E-02,     5
0.400000E+00,0.101325E+03,0.687999E+03,0.266600E+02,0.264582E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.800154E+01,0.000000E+00,0.226575E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323481E-04,0.773465E-02,     5
0.500000E+00,0.101325E+03,0.687640E+03,0.266600E+02,0.264093E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.799866E+01,0.000000E+00,0.226494E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323455E-04,0.773147E-02,     5
0.600000E+00,0.101325E+03,0.687281E+03,0.266600E+02,0.263604E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.799579E+01,0.000000E+00,0.226412E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323429E-04,0.772806E-02,     5
0.700000E+00,0.101325E+03,0.686922E+03,0.266600E+02,0.263116E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.799292E+01,0.000000E+00,0.226331E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323402E-04,0.772465E-02,     5
0.800000E+00,0.101325E+03,0.686564E+03,0.266600E+02,0.262627E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.799006E+01,0.000000E+00,0.226250E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323376E-04,0.772125E-02,     5
0.900000E+00,0.101325E+03,0.686205E+03,0.266600E+02,0.262138E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.798719E+01,0.000000E+00,0.226169E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323350E-04,0.771785E-02,     5
0.100000E+01,0.101325E+03,0.685847E+03,0.266600E+02,0.261650E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.798432E+01,0.000000E+00,0.226088E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323323E-04,0.771445E-02,     5
0.110000E+01,0.101325E+03,0.685489E+03,0.266600E+02,0.261162E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.798146E+01,0.000000E+00,0.226006E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323297E-04,0.771105E-02,     5
0.120000E+01,0.101325E+03,0.685132E+03,0.266600E+02,0.260673E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.797860E+01,0.000000E+00,0.225925E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323270E-04,0.770766E-02,     5
0.130000E+01,0.101325E+03,0.684774E+03,0.266600E+02,0.260185E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.797573E+01,0.000000E+00,0.225844E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323244E-04,0.770426E-02,     5
0.140000E+01,0.101325E+03,0.684417E+03,0.266600E+02,0.259697E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.797287E+01,0.000000E+00,0.225763E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323218E-04,0.770087E-02,     5
0.150000E+01,0.101325E+03,0.684060E+03,0.266600E+02,0.259209E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.797001E+01,0.000000E+00,0.225682E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323191E-04,0.769748E-02,     5
0.160000E+01,0.101325E+03,0.683703E+03,0.266600E+02,0.258722E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.796716E+01,0.000000E+00,0.225601E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323165E-04,0.769409E-02,     5
0.170000E+01,0.101325E+03,0.683346E+03,0.266600E+02,0.258234E+02,0.100000E+01,0.100000E+01,0.117757E+01,0.796430E+01,0.000000E+00,0.225521E+01,0.100000E+01,0.100000E+01,0.257508E-01,0.257508E-01,0.000000E+00,0.283168E+00,0.323139E-04,0.769071E-02,     5
