TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,LBM/S,FT/S,PSIA,BTU/R-Sec,In2
0.100000E+00,0.179619E-01,0.103935E+04,0.852399E+02,0.000000E+00,0.785000E-02
0.200000E+00,0.179540E-01,0.103927E+04,0.851873E+02,0.000000E+00,0.785000E-02
0.300000E+00,0.179461E-01,0.103918E+04,0.851352E+02,0.000000E+00,0.785000E-02
0.400000E+00,0.179382E-01,0.103910E+04,0.850830E+02,0.000000E+00,0.785000E-02
0.500000E+00,0.179302E-01,0.103901E+04,0.850309E+02,0.000000E+00,0.785000E-02
0.600000E+00,0.179223E-01,0.103893E+04,0.849789E+02,0.000000E+00,0.785000E-02
0.700000E+00,0.179145E-01,0.103884E+04,0.849268E+02,0.000000E+00,0.785000E-02
0.800000E+00,0.179066E-01,0.103876E+04,0.848748E+02,0.000000E+00,0.785000E-02
0.900000E+00,0.178987E-01,0.103867E+04,0.848228E+02,0.000000E+00,0.785000E-02
0.100000E+01,0.178908E-01,0.103859E+04,0.847709E+02,0.000000E+00,0.785000E-02
0.110000E+01,0.178829E-01,0.103850E+04,0.847190E+02,0.000000E+00,0.785000E-02
0.120000E+01,0.178750E-01,0.103842E+04,0.846671E+02,0.000000E+00,0.785000E-02
0.130000E+01,0.178672E-01,0.103833E+04,0.846153E+02,0.000000E+00,0.785000E-02
0.140000E+01,0.178593E-01,0.103825E+04,0.845634E+02,0.000000E+00,0.785000E-02
0.150000E+01,0.178514E-01,0.103817E+04,0.845116E+02,0.000000E+00,0.785000E-02
0.160000E+01,0.178436E-01,0.103808E+04,0.844599E+02,0.000000E+00,0.785000E-02
0.170000E+01,0.178357E-01,0.103800E+04,0.844082E+02,0.000000E+00,0.785000E-02
0.180000E+01,0.178279E-01,0.103791E+04,0.843565E+02,0.000000E+00,0.785000E-02
0.190000E+01,0.178200E-01,0.103783E+04,0.843048E+02,0.000000E+00,0.785000E-02
0.200000E+01,0.178122E-01,0.103774E+04,0.842532E+02,0.000000E+00,0.785000E-02
0.210000E+01,0.178044E-01,0.103766E+04,0.842016E+02,0.000000E+00,0.785000E-02
0.220000E+01,0.177965E-01,0.103757E+04,0.841500E+02,0.000000E+00,0.785000E-02
0.230000E+01,0.177887E-01,0.103749E+04,0.840985E+02,0.000000E+00,0.785000E-02
0.240000E+01,0.177809E-01,0.103740E+04,0.840470E+02,0.000000E+00,0.785000E-02
