TIME,F23       ,F31       ,V23       ,V31       ,DP23      ,DP31      ,SGEN23    ,SGEN31    ,A23       ,A31       
SECONDS,KG/S,KG/S,M/S,M/S,kPa,kPa,KJ/K-S,KJ/K-S,M^2,M^2
0.100000E+00,0.647126E-01,0.147146E-02,0.904138E+01,0.571700E+02,0.106868E+03,0.478432E+03,0.000000E+00,0.000000E+00,0.929030E-03,0.506450E-05
0.200000E+00,0.271434E-02,0.284985E-02,0.942933E+01,0.110900E+03,0.113640E+03,0.471541E+03,0.000000E+00,0.000000E+00,0.373725E-04,0.506450E-05
0.300000E+00,0.114003E-03,0.400761E-02,0.945256E+01,0.163606E+03,0.150620E+03,0.434556E+03,0.000000E+00,0.000000E+00,0.156578E-05,0.506450E-05
0.400000E+00,0.601181E-05,0.490302E-02,0.945615E+01,0.213338E+03,0.195849E+03,0.389327E+03,0.000000E+00,0.000000E+00,0.825385E-07,0.506450E-05
0.500000E+00,0.430511E-06,0.552346E-02,0.945867E+01,0.259614E+03,0.245385E+03,0.339790E+03,0.000000E+00,0.000000E+00,0.590908E-08,0.506450E-05
0.600000E+00,0.448368E-07,0.587860E-02,0.946123E+01,0.302102E+03,0.296373E+03,0.288802E+03,0.000000E+00,0.000000E+00,0.615252E-09,0.506450E-05
0.700000E+00,0.725086E-08,0.599494E-02,0.946382E+01,0.340502E+03,0.346466E+03,0.238710E+03,0.000000E+00,0.000000E+00,0.994693E-10,0.506450E-05
0.800000E+00,0.193990E-08,0.590950E-02,0.946638E+01,0.374524E+03,0.393911E+03,0.191264E+03,0.000000E+00,0.000000E+00,0.266049E-10,0.506450E-05
0.900000E+00,0.913721E-09,0.566516E-02,0.946884E+01,0.403853E+03,0.437429E+03,0.147746E+03,0.000000E+00,0.000000E+00,0.125280E-10,0.506450E-05
0.100000E+01,0.805800E-09,0.530419E-02,0.947114E+01,0.428157E+03,0.476356E+03,0.108820E+03,0.000000E+00,0.000000E+00,0.110456E-10,0.506450E-05
0.110000E+01,0.141574E-08,0.486613E-02,0.947325E+01,0.447071E+03,0.510414E+03,0.747616E+02,0.000000E+00,0.000000E+00,0.194022E-10,0.506450E-05
0.120000E+01,0.527915E-08,0.438521E-02,0.947515E+01,0.460188E+03,0.539650E+03,0.455253E+02,0.000000E+00,0.000000E+00,0.723342E-10,0.506450E-05
0.130000E+01,0.445840E-07,0.388928E-02,0.947687E+01,0.467059E+03,0.564335E+03,0.208409E+02,0.000000E+00,0.000000E+00,0.610773E-09,0.506450E-05
0.140000E+01,0.911568E-06,0.339960E-02,0.947901E+01,0.467185E+03,0.584869E+03,0.306859E+00,0.000000E+00,0.000000E+00,0.124851E-07,0.506450E-05
0.150000E+01,0.484295E-04,0.293285E-02,0.951667E+01,0.459272E+03,0.601396E+03,-.162232E+02,0.000000E+00,0.000000E+00,0.660681E-06,0.506450E-05
0.160000E+01,0.103340E-01,0.278954E-02,0.142052E+02,0.320012E+03,0.542195E+03,0.425231E+02,0.000000E+00,0.000000E+00,0.944915E-04,0.506450E-05
0.170000E+01,0.802281E-01,0.450127E-02,0.119053E+02,0.140142E+03,-.280606E+02,0.609250E+03,0.000000E+00,0.000000E+00,0.878483E-03,0.506450E-05
0.180000E+01,0.162702E-02,0.592159E-02,0.119321E+02,0.192289E+03,0.149535E+02,0.566165E+03,0.000000E+00,0.000000E+00,0.177779E-04,0.506450E-05
0.190000E+01,0.406377E-04,0.697132E-02,0.119390E+02,0.243300E+03,0.782712E+02,0.502845E+03,0.000000E+00,0.000000E+00,0.443780E-06,0.506450E-05
0.200000E+01,0.142125E-05,0.764665E-02,0.119434E+02,0.290852E+03,0.145785E+03,0.435331E+03,0.000000E+00,0.000000E+00,0.155149E-07,0.506450E-05
0.210000E+01,0.745830E-07,0.797248E-02,0.119478E+02,0.334604E+03,0.213649E+03,0.367467E+03,0.000000E+00,0.000000E+00,0.813878E-09,0.506450E-05
0.220000E+01,0.626668E-08,0.799327E-02,0.119522E+02,0.374309E+03,0.279027E+03,0.302089E+03,0.000000E+00,0.000000E+00,0.683593E-10,0.506450E-05
0.230000E+01,0.897916E-09,0.776580E-02,0.119565E+02,0.409706E+03,0.339768E+03,0.241348E+03,0.000000E+00,0.000000E+00,0.979130E-11,0.506450E-05
0.240000E+01,0.233390E-09,0.734937E-02,0.119605E+02,0.440527E+03,0.394623E+03,0.186493E+03,0.000000E+00,0.000000E+00,0.254414E-11,0.506450E-05
0.250000E+01,0.117081E-09,0.680205E-02,0.119642E+02,0.466468E+03,0.442931E+03,0.138185E+03,0.000000E+00,0.000000E+00,0.127588E-11,0.506450E-05
0.260000E+01,0.120741E-09,0.617455E-02,0.119676E+02,0.487199E+03,0.484630E+03,0.964863E+02,0.000000E+00,0.000000E+00,0.131538E-11,0.506450E-05
